IPV4_SRC_ADDR,L4_SRC_PORT,IPV4_DST_ADDR,L4_DST_PORT,PROTOCOL,L7_PROTO,IN_BYTES,OUT_BYTES,IN_PKTS,OUT_PKTS,TCP_FLAGS,FLOW_DURATION_MILLISECONDS,Label,Attack
192.168.1.31,36586,192.168.1.184,80,6,7.0,436,323,6,4,27,10,1,ddos
192.168.1.31,37720,192.168.1.184,443,6,91.0,112,60,2,1,18,0,1,ddos
192.168.1.31,55402,192.168.1.152,80,6,7.0,480,3760,5,6,27,70,1,ddos
192.168.1.36,42628,192.168.1.184,443,6,91.0,1067,2215,8,8,31,182,1,injection
192.168.1.195,65153,192.168.1.79,9197,6,7.0,551,16198,8,15,27,0,0,Benign
192.168.1.33,38434,192.168.1.195,80,6,7.0,556,696,5,4,27,204,1,injection
192.168.1.33,33790,176.28.50.165,80,6,7.0,216,112,4,2,19,690,1,injection
192.168.1.31,49906,192.168.1.184,443,6,91.0,906,5218,7,14,26,26873,1,ddos
192.168.1.30,35786,192.168.1.194,80,6,7.0,216,180,4,3,18,10430,1,ddos
192.168.1.30,38714,18.184.104.180,80,6,7.0,544,12815,6,12,27,1683,1,injection
192.168.1.36,33404,192.168.1.190,80,6,7.0,559,2239,5,6,27,230,1,injection
192.168.1.33,43706,192.168.1.190,80,6,7.0,216,112,4,2,19,80,1,password
192.168.1.30,43394,192.168.1.190,80,6,7.0,556,2239,5,6,27,34,1,password
192.168.1.30,52128,192.168.1.194,80,6,7.0,216,180,4,3,18,10147,1,ddos
192.168.1.184,443,192.168.1.31,59768,6,91.0,52,52,1,1,17,15,0,Benign
192.168.1.36,52144,192.168.1.1,53,17,5.0,130,146,2,2,0,2,1,xss
192.168.1.33,44608,52.59.177.21,80,6,7.178,617,12815,7,12,27,1707,1,injection
192.168.1.31,58960,192.168.1.195,80,6,7.0,458,2163,5,5,27,294,1,injection
192.168.1.36,49694,192.168.1.1,53,17,5.0,130,146,2,2,0,0,1,xss
192.168.1.193,55766,192.168.1.195,5357,6,7.0,1202,2578,6,5,27,2,0,Benign
192.168.1.31,33824,192.168.1.190,80,6,7.0,642,2179,3,5,27,610,1,ddos
192.168.1.30,57828,192.168.1.184,443,6,91.0,112,60,2,1,18,0,1,ddos
192.168.1.30,41324,192.168.1.152,80,6,7.0,112,3700,2,5,27,8144,1,injection
192.168.1.30,37916,192.168.1.184,443,6,91.0,112,60,2,1,18,0,1,ddos
192.168.1.30,49504,192.168.1.184,443,6,91.0,52,0,1,0,16,0,1,ddos
192.168.1.31,44410,192.168.1.195,80,6,7.0,475,696,5,4,27,178,1,scanning
192.168.1.195,63519,192.168.1.1,49152,6,7.0,403,1203,5,5,27,8,0,Benign
192.168.1.30,50464,192.168.1.152,80,6,7.0,503,3760,5,6,27,48,1,injection
192.168.1.31,39090,192.168.1.184,443,6,91.0,52,0,1,0,16,0,1,ddos
192.168.1.33,53676,192.168.1.195,80,6,7.0,458,2163,5,5,27,365,1,injection
192.168.1.33,33410,192.168.1.195,80,6,7.0,100,52,2,1,18,40,1,password
192.168.1.195,49958,192.168.1.79,9197,6,7.0,344,855,5,5,27,5,0,Benign
192.168.1.35,42808,52.59.177.21,80,6,7.178,554,12815,6,12,27,1731,1,injection
192.168.1.33,48344,192.168.1.190,80,6,7.0,555,2239,5,6,27,35,1,injection
192.168.1.36,49968,52.59.177.21,80,6,7.178,642,12815,6,12,27,1022,1,injection
192.168.1.33,48428,52.59.177.21,80,6,7.178,628,12815,7,12,27,1553,1,injection
192.168.1.30,42584,192.168.1.184,443,6,91.0,112,60,2,1,18,0,1,ddos
192.168.1.36,56930,192.168.1.195,80,6,7.0,458,2163,5,5,27,820,1,xss
192.168.1.31,34124,192.168.1.190,80,6,7.0,112,60,2,1,18,0,1,password
192.168.1.190,80,192.168.1.31,33190,6,7.0,60,0,1,0,18,0,0,Benign
192.168.1.31,52092,176.28.50.165,80,6,7.0,100,60,2,1,22,340,1,injection
192.168.1.194,80,192.168.1.31,56710,6,7.0,120,156,2,3,18,18420,0,Benign
192.168.1.38,42224,192.168.1.184,443,6,91.0,1293,2215,8,8,31,225,1,ddos
192.168.1.195,49969,192.168.1.79,9197,6,7.0,344,2022,5,6,27,40,0,Benign
192.168.1.33,58262,192.168.1.195,80,6,7.0,458,2163,5,5,27,328,1,injection
192.168.1.33,58342,192.168.1.195,80,6,7.0,483,696,5,4,27,244,1,injection
192.168.1.33,54374,192.168.1.184,443,6,91.0,1115,7589,9,11,31,100,1,injection
192.168.1.38,53694,192.168.1.184,443,6,91.0,1115,7589,9,11,31,311,1,injection
192.168.1.30,43134,192.168.1.190,80,6,7.0,508,2239,5,6,27,59,1,ddos
192.168.1.184,443,192.168.1.30,42242,6,91.0,52,52,1,1,17,150,0,Benign
192.168.1.35,37366,52.59.177.21,80,6,7.178,547,12815,6,12,27,1692,1,injection
192.168.1.30,32824,192.168.1.190,80,6,7.0,112,60,2,1,18,53,1,password
192.168.1.30,34998,192.168.1.194,80,6,7.0,164,180,3,3,18,10007,1,ddos
192.168.1.36,56460,18.184.104.180,80,6,7.0,907,12815,6,12,27,1825,1,injection
192.168.1.36,51904,176.28.50.165,80,6,7.0,216,112,4,2,19,766,1,xss
192.168.1.184,443,192.168.1.30,59906,6,91.0,52,52,1,1,17,58,0,Benign
192.168.1.31,56796,192.168.1.152,80,6,7.0,359,104,3,2,25,65,1,password
192.168.1.36,39667,192.168.1.1,53,17,5.0,108,108,2,2,0,9,1,injection
192.168.1.36,48400,192.168.1.195,80,6,7.0,458,2163,5,5,27,1898,1,injection
192.168.1.37,8080,192.168.1.193,56090,6,131.0,208,200,2,1,24,58,0,Benign
192.168.1.33,39374,192.168.1.190,80,6,7.0,574,2239,5,6,27,26,1,password
192.168.1.30,49094,192.168.1.195,80,6,7.0,553,736,5,5,27,174,1,password
192.168.1.152,80,192.168.1.31,33256,6,7.0,1612,432,3,2,26,46,0,Benign
192.168.1.33,53340,192.168.1.195,80,6,7.0,458,2163,5,5,27,299,1,injection
192.168.1.36,52648,192.168.1.195,80,6,7.0,458,2203,5,6,27,1399,1,xss
192.168.1.30,60794,192.168.1.190,80,6,7.0,556,2239,5,6,27,678,1,ddos
192.168.1.30,34226,192.168.1.152,80,6,7.0,503,3760,5,6,27,236,1,password
192.168.1.31,48738,18.184.104.180,80,6,7.0,710,12815,9,12,27,1662,1,password
192.168.1.184,443,192.168.1.31,56124,6,91.0,52,52,1,1,17,0,0,Benign
192.168.1.30,52500,192.168.1.152,80,6,7.0,794,3812,5,7,27,19,1,injection
192.168.1.35,54402,192.168.1.184,443,6,91.0,1344,2215,8,8,31,121,1,injection
192.168.1.36,57864,176.28.50.165,80,6,7.0,474,2286,5,6,27,1020,1,injection
192.168.1.36,49288,192.168.1.190,80,6,7.0,823,2239,5,6,27,172,1,injection
192.168.1.31,32920,192.168.1.190,80,6,7.0,112,60,2,1,18,0,1,ddos
192.168.1.36,41572,192.168.1.152,80,6,7.0,216,112,4,2,19,204,1,xss
192.168.1.33,37174,192.168.1.184,443,6,91.0,1081,2215,8,8,31,101,1,injection
192.168.1.33,51066,192.168.1.184,443,6,91.0,1195,7693,11,13,31,570,1,injection
192.168.1.33,40980,192.168.1.190,80,6,7.0,541,2239,5,6,27,15,1,password
192.168.1.33,35212,192.168.1.195,80,6,7.0,498,2163,6,5,27,204,1,injection
192.168.1.190,11624,204.61.216.50,53,17,5.0,82,361,1,1,0,21,0,Benign
192.168.1.31,55676,192.168.1.184,443,6,91.0,112,60,2,1,18,12,1,ddos
192.168.1.1,61159,192.168.1.195,60741,17,12.0,629,0,2,0,0,2,0,Benign
192.168.1.31,48800,192.168.1.190,80,6,7.0,112,60,2,1,18,0,1,injection
192.168.1.36,47920,192.168.1.152,80,6,7.0,498,3812,5,7,27,11,1,injection
192.168.1.30,43428,192.168.1.190,80,6,7.0,576,2239,5,6,27,35,1,injection
192.168.1.35,45428,192.168.1.195,80,6,7.0,521,696,5,4,27,359,1,injection
192.168.1.30,47464,192.168.1.184,443,6,91.0,112,60,2,1,18,0,1,ddos
192.168.1.31,47890,192.168.1.195,80,6,7.0,458,2163,5,5,27,265,1,injection
192.168.1.31,40198,192.168.1.190,80,6,7.0,524,2239,5,6,27,170,1,injection
192.168.1.31,48320,18.184.104.180,80,6,7.0,600,12815,6,12,27,1707,1,injection
192.168.1.33,49402,192.168.1.190,80,6,7.0,481,2179,4,5,25,19,1,injection
192.168.1.30,42740,192.168.1.1,53,17,5.0,130,146,2,2,0,0,1,injection
192.168.1.33,34168,192.168.1.190,80,6,7.0,541,2239,5,6,27,13,1,password
192.168.1.31,50416,192.168.1.184,443,6,91.0,112,60,2,1,18,0,1,ddos
192.168.1.31,51258,192.168.1.152,80,6,7.0,112,60,2,1,18,0,1,injection
192.168.1.36,35594,192.168.1.152,80,6,7.0,156,52,3,1,17,147,1,injection
192.168.1.38,37366,192.168.1.195,80,6,7.0,458,2163,5,5,27,574,1,injection
192.168.1.30,34644,192.168.1.184,443,6,91.0,112,60,2,1,18,0,1,ddos
192.168.1.38,50666,192.168.1.184,443,6,91.0,1778,2365,11,12,31,75,1,ddos
192.168.1.36,55782,192.168.1.190,80,6,7.0,552,2239,5,6,27,240,1,injection
192.168.1.30,54950,192.168.1.184,443,6,91.0,112,60,2,1,18,0,1,ddos
192.168.1.180,41985,192.168.1.190,53,17,5.0,371,872,4,4,0,0,0,Benign
52.59.177.21,80,192.168.1.30,51022,6,7.178,12815,487,12,5,27,1240,0,Benign
192.168.1.31,49318,192.168.1.152,80,6,7.0,112,60,2,1,18,14,1,ddos
192.168.1.36,56976,52.59.177.21,80,6,7.178,646,12611,5,12,27,3674,1,injection
192.168.1.31,37522,192.168.1.195,80,6,7.0,465,696,5,4,27,132,1,injection
192.168.1.184,443,192.168.1.30,43946,6,91.0,52,52,1,1,17,35,0,Benign
192.168.1.33,54224,192.168.1.184,443,6,91.0,1073,2215,8,8,31,135,1,injection
192.168.1.31,54112,192.168.1.190,80,6,7.0,576,2239,5,6,27,24,1,password
192.168.1.36,42290,192.168.1.152,80,6,7.0,512,3760,5,6,27,163,1,injection
192.168.1.33,52548,192.168.1.195,80,6,7.0,834,696,5,4,27,243,1,password
192.168.1.38,40082,192.168.1.195,80,6,7.0,545,527,5,4,27,729,1,injection
192.168.1.33,54656,192.168.1.184,443,6,91.0,1083,2215,8,8,31,313,1,injection
192.168.1.184,443,192.168.1.30,45694,6,91.0,675,0,8,0,25,34556,0,Benign
192.168.1.30,57494,192.168.1.190,80,6,7.0,112,60,2,1,18,0,1,injection
192.168.1.30,49108,192.168.1.195,80,6,7.0,458,2163,5,5,27,143,1,password
192.168.1.195,0,224.0.0.252,0,2,82.0,128,0,4,0,0,27,0,Benign
192.168.1.184,443,192.168.1.30,59690,6,91.0,52,52,1,1,17,22,0,Benign
192.168.1.30,34234,192.168.1.184,443,6,91.0,52,0,1,0,16,0,1,ddos
192.168.1.31,56690,192.168.1.184,443,6,91.0,112,60,2,1,18,14,1,ddos
192.168.1.184,443,192.168.1.31,40522,6,91.0,52,52,1,1,17,61,0,Benign
192.168.1.30,46992,192.168.1.190,80,6,7.0,60,60,1,1,18,0,1,ddos
192.168.1.36,52000,192.168.1.195,80,6,7.0,431,696,5,4,27,33,1,xss
192.168.1.36,46908,192.168.1.195,80,6,7.0,458,2163,5,5,27,234,1,injection
192.168.1.33,49092,192.168.1.195,80,6,7.0,458,2203,5,6,27,349,1,injection
192.168.1.36,45544,192.168.1.195,80,6,7.0,458,2163,5,5,27,245,1,injection
192.168.1.31,42432,192.168.1.184,443,6,91.0,112,60,2,1,18,0,1,ddos
192.168.1.31,36420,192.168.1.190,80,6,7.0,216,112,4,2,19,14,1,password
192.168.1.1,58488,192.168.1.195,49992,17,12.0,629,0,2,0,0,0,0,Benign
192.168.1.31,44854,192.168.1.184,443,6,91.0,764,565,6,6,26,229,1,ddos
192.168.1.33,41906,192.168.1.1,53,17,5.0,130,146,2,2,0,0,1,injection
192.168.1.31,41640,192.168.1.184,443,6,91.0,112,60,2,1,18,0,1,ddos
192.168.1.38,49330,192.168.1.152,80,6,7.0,519,3760,5,6,27,311,1,ddos
192.168.1.35,56460,192.168.1.184,443,6,91.0,1090,2215,8,8,31,382,1,injection
192.168.1.33,36250,192.168.1.195,80,6,7.0,526,696,5,4,27,436,1,injection
192.168.1.31,36616,192.168.1.152,80,6,7.0,112,60,2,1,18,0,1,injection
192.168.1.38,60254,192.168.1.195,80,6,7.0,476,696,5,4,27,250,1,injection
192.168.1.38,41148,192.168.1.190,80,6,7.0,720,2239,5,6,27,981,1,ddos
